date,m_aud_exp_im,m_aud_exp_sp,m_aud_ret_im,m_aud_ret_sp,m_aud_app_im,m_aud_app_sp,m_disst_app_sp,m_disst_exp_sp,m_disst_ret_sp,m_disst_home_sp,m_disst_app_im,m_disst_exp_im,m_disst_ret_im,m_disst_home_im,m_disvd_app_sp,m_disvd_exp_sp,m_disvd_ret_sp,m_disvd_home_sp,m_disvd_app_im,m_disvd_exp_im,m_disvd_ret_im,m_disvd_home_im,m_dig_exp_sp,m_dig_ret_sp,m_oohdig_ret_sp,m_oohpap_ret_sp,m_oohdig_ret_gr,m_oohpap_ret_gr,m_oohdig_ret_ip,m_oohpap_ret_ip,m_oohdig_app_sp,m_oohpap_app_sp,m_oohdig_app_gr,m_oohpap_app_gr,m_oohdig_app_ip,m_oohpap_app_ip,m_oohdig_home_sp,m_oohpap_home_sp,m_oohdig_home_gr,m_oohpap_home_gr,m_oohdig_home_ip,m_oohpap_home_ip,m_ooh_befo_ret_ip,m_ooh_befo_exp_ip,m_ooh_befo_home_ip,m_ooh_befo_app_ip,m_ooh_befo_ret_sp,m_ooh_befo_exp_sp,m_ooh_befo_home_sp,m_ooh_befo_app_sp,m_ooh_befo_rtd_sp,m_prs_ret_sp,m_prs_ret_gr,m_prs_home_sp,m_prs_exp_sp,m_prs_rtd_sp,m_rad_ret_sp,m_rad_ret_im,m_rad_ret_gr,m_rad_exp_sp,m_rad_home_sp,m_radprt_ret_sp,m_radprt_ret_gr,m_soctw_exp_sp,m_soctw_exp_im,m_soctw_ret_sp,m_soctw_ret_im,m_socsn_exp_sp,m_socsn_exp_im,m_socsn_ret_sp,m_socsn_ret_im,m_socfb_exp_sp,m_socfb_exp_im,m_socfb_ret_sp,m_socfb_ret_im,m_vod_ret_sp,m_vod_ret_im,m_cin_ret_sp,m_drd_ret_sp,m_tvv_ret_sp,m_tvvspons_ret_vf,m_tvvspons_ret_sec,m_tvvspons_ret_val,m_tvvspons_ret_ppval,m_tvvspons_ret_sp,m_drm_ret_sp,m_tot_exp_sp,m_tot_ret_sp,m_tot_app_sp,m_tot_home_sp,m_tot_rtd_sp,m_aud_ret_sp_1,m_dis_ret_sp,m_dig_ret_sp_1,m_ooh_ret_sp,m_prs_ret_sp_1,m_rad_ret_sp_1,m_soc_ret_sp,m_vod_ret_sp_1,m_cin_ret_sp_1,m_drd_ret_sp_1,m_tvv_ret_sp_1,m_drm_ret_sp_1,M_EML_DELROLL_VOL,M_RADAUD_RET_SP,M_EML_DELIV_VOL,M_DIGALL_RET_SP,M_EML_FOOU_VOL,M_TOT_EXP18_SP,M_TOT_EXP19_SP,M_TOT_EXP20_SP,M_DRM_TOT_SP,m_dis_exp_sp,m_soc_exp_sp,m_radaud_exp_sp,m_ooh_exp_sp,m_ooh_exp18_sp,m_ooh_exp19_sp,m_dig_exp18_sp,m_dig_exp19_sp,m_prs_exp18_sp,m_prs_exp19_sp,m_rad_exp18_sp,m_rad_exp20_sp
27/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313654.158754108,0,0,0,6054.710572884777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11506.31507759823,0,0,0,0,0,0,6776.113892541459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4375.082284374794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4078.7234990502043,0,0,0,0,0,3386.87971352111,0,0,0,0,0,0,0,0,0,0,0,0,4141.342849002635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9081.75358322128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52650.57481174541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6978.361626520561,0,0,0,0,0,0,0,0,0,95046.95600426964,0,0,0,0,0,7030.452223507215,0,38428.49699716579,0,0,0,6343.309508981836,0,0,0,0,0,0,8596.559519029051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9263.62403121493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49020.48190272694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21515.873168882317,0,4161.8559561395305,0,0,0,0,0,0,0,117535.27392456196,0,0,0,0,0,7171.243479707946,0,35778.97199288171,0,0,0,19557.863316732233,0,5671.560628941182,0,0,0,0,8768.713510722728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20441.80154177501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18865570.443268508,0,0,0,49370.20011846064,0,0,0,0,18954.328882314592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24026.839573055247,1160915.5636171051,28494.31427618456,0,246973.7519607077,0,0,0,0,0,0,0,786018.2597699929,0,0,0,0,0,15824.59904741105,55252.53352297927,13834.34792766648,0,0,32256.680685692652,25901.24507350305,0,336562.9716078703,0,0,0,0,19349.695190443377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/03/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16743.728665791565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33014748.275719892,0,0,0,86397.85022746457,0,0,0,0,11400.442944554603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19680.20683582259,950897.3636321997,28493.51943498463,0,182889.26999760864,0,0,0,0,0,0,0,687282.5435316701,0,0,0,0,0,12961.81220394467,96691.93368777398,8320.932658905058,0,0,26421.208906868804,25900.522565268097,0,249231.9758554026,0,0,0,0,15849.192419389055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/03/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16234.515669982606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33166421.36047979,0,0,0,86794.77067280296,0,0,0,0,4383.652224177004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19081.68919873533,921978.5190060735,28493.837375915686,0,133464.6216626826,0,0,0,0,0,0,0,563369.4309115625,0,0,0,0,0,12567.615465856776,97136.14619166081,3199.5313809152435,0,0,25617.682823233157,25900.8115726081,0,181878.6381739021,0,0,0,0,15367.184205202062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17054.570609597034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33280176.18318696,0,0,0,87092.46102513261,0,0,0,0,14255.635001025945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20045.563559336784,968550.4680680212,28494.791176453433,0,100098.46627756872,0,0,0,0,0,0,0,505104.8628553958,0,0,0,0,0,13202.4440835658,97469.30559008528,10404.874567625946,0,0,26911.710170296916,25901.678574398,0,136408.97867206775,0,0,0,0,16143.427585147274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/04/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11613.380509288801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33128503.089289814,0,0,0,86695.54057979422,0,0,0,0,47538.26172154721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13650.109549710238,659538.4537872395,28494.473246650086,0,121220.88736702374,0,0,0,0,0,0,0,584261.8141850007,0,0,0,0,0,8990.258993021993,97025.09308619845,34697.13207023575,0,0,18325.640529248256,25901.389577173053,0,165193.51449007133,0,0,0,0,10992.93389215938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17695.42431980261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33014748.275719892,0,0,0,86397.85022746457,0,0,0,0,28678.445333822172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28493.28099041405,0,153430.29992150143,0,0,0,0,0,0,0,608494.1336257374,0,0,0,0,0,13698.547765588355,96691.93368777398,20931.766734450095,0,0,0,25900.30581987815,0,209086.82508286473,0,0,0,0,16750.043588575405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/04/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14508.86965857814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14149177.83245138,0,0,0,37027.6500870129,0,0,0,0,5518.3103226130625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27055.180200983992,0,46885.97579488345,0,0,0,0,0,0,0,232795.7846181648,0,0,0,0,0,11231.742197914433,41439.40014018352,4027.693380750292,0,0,0,24593.076573145292,0,63893.76690836032,0,0,0,0,13733.731093985652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/04/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13149.148439359287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57195.812915562296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16672.76492767362,0,0,0,0,0,0,0,0,0,117695.1978641563,0,0,0,0,0,10179.14206057219,0,41745.96635905708,0,0,0,15155.492645264865,0,0,0,0,0,0,12446.653187368902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/05/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22089.555074134936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88630.36461707808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4154.778338135266,0,0,0,0,0,0,0,0,0,156835.29731061996,0,0,0,0,0,17100.173459248672,0,64689.354536454004,0,0,0,3776.680881633518,0,0,0,0,0,0,20909.4172401357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/05/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19738.70665393898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96077.54290087205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160453.14257817235,0,0,0,0,0,15280.312641462337,0,70124.88623462443,0,0,0,0,0,0,0,0,0,0,18684.16325375064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/05/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13784.785047101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18994611.462778658,0,0,0,49707.89364431731,0,0,0,0,96788.4191949588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250417.97775375418,0,0,0,0,0,10671.207030326215,55630.462371011454,70643.7392125899,0,0,0,0,0,0,0,0,0,0,13048.330812824619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/05/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12100.997139307143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33240570.06214696,0,0,0,86988.8138885508,0,0,0,0,61917.37272068179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268139.4071143596,0,0,0,0,0,9367.737349962346,97353.30916157564,45192.1290541792,0,0,0,0,0,0,0,0,0,0,11454.499529677394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9751.847300394375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14245958.599368304,0,0,0,37280.92023690315,0,0,0,0,79955.03201327594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198153.80797784557,0,0,0,0,0,7549.191453842817,41722.84678236045,58357.420001899714,0,0,0,0,0,0,0,0,0,0,9230.85337761255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11082.207179434112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65020.02492071445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106464.2019345384,0,0,0,0,0,8579.062115268782,0,47456.68668110954,0,0,0,0,0,0,0,0,0,0,10490.138578107593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5894.2282981436265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18083.899268755868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32232.170254221604,0,0,0,0,0,4562.895267396657,0,13199.040489704308,0,0,0,0,0,0,0,0,0,0,5579.328256312854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
